event_id,vehicle_id,zone_id,entry_time,exit_time,paid_amount
E001,V001,Z001,2024-07-18 08:00:00,2024-07-18 10:30:00,120.0
E002,V002,Z002,2024-07-18 09:00:00,2024-07-18 11:00:00,-80.0
E003,V003,Z004,2024-07-18 12:00:00,2024-07-18 12:45:00,70.0
E004,V001,Z003,2024-07-17 15:00:00,2024-07-18 15:00:00,300.0
E005,V004,Z005,2024-07-16 07:00:00,2024-07-16 10:00:00,75.0
E006,V005,Z003,2024-07-15 18:00:00,2024-07-15 15:30:00,15.0
E007,V002,Z001,2024-07-14 08:00:00,2024-07-14 09:00:00,-50.0
E008,V006,Z004,2024-07-18 10:15:00,2024-07-18 11:15:00,70.0
E009,V007,Z001,2024-07-18 07:30:00,2024-07-18 08:00:00,25.0
E010,V006,Z005,2024-07-17 06:00:00,2024-07-17 08:00:00,50.0
E011,V001,Z001,2024-07-19 10:00:00,,
E012,V005,Z001,2024-07-18 13:00:00,2024-07-18 12:00:00,-20.0
E013,,Z003,2024-07-18 14:00:00,2024-07-18 16:00:00,60.0
E014,V056,Z001,2024-07-18 14:00:00,2024-07-18 12:00:00,20.0
E015,V008,Z002,2024-07-18 17:00:00,2024-07-18 18:00:00,45.0
E016,V009,Z003,2024-07-19 08:00:00,2024-07-19 10:30:00,90.0
E017,V010,Z004,2024-07-19 09:15:00,2024-07-19 10:00:00,-30.0
E018,V011,Z001,2024-07-17 14:00:00,2024-07-17 15:30:00,40.0
E019,V012,Z005,2024-07-16 10:00:00,2024-07-16 12:00:00,60.0
E020,V013,Z002,2024-07-19 06:00:00,2024-07-19 08:00:00,75.0
E021,V014,Z003,2024-07-18 13:30:00,2024-07-18 15:00:00,55.0
E022,V015,Z004,2024-07-18 12:15:00,2024-07-18 10:45:00,35.0
E023,V016,Z005,2024-07-18 11:00:00,2024-07-18 12:30:00,50.0
E024,V017,Z001,2024-07-18 09:00:00,2024-07-18 10:00:00,40.0